name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
"Cardinalfish ""Veil"" - Tanichthys albonubes ""Long fin""",soft to hard,Beardies,,15-20 °C,center,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Ornamental Tetra - Hyphessobrycon bentosi,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Oblique swimmers - Thayeria boehlkei,soft water,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Copper Tetra - Hasemania nana,soft to medium hard,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Moss Barb - Barbus tetrazona - DNZ,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),conditional (see description),no,4-8 cm,1 - easy,,,
Salmon Rainbowfish - Glossolepis incisus,medium hard to hard,Spikefish,,25-30 °C,center,,,600 l (ca. 180cm),medium,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
Cross-striped dwarf rasbora - Celestichtys (Danio) erythromicron,hard water,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),1-4 cm,1 - easy,,,
Glow-eyed rasbora - Rasbora dorsiocellata,soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),1-4 cm,1 - easy,,,
Star spot tetra - Pristella maxillaris,soft to hard,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Red Phantom Tetra - Megalamphodus sweglesi,soft to medium hard,Tetra,no,22-28 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,dynamic group behaviour,no,5-10 years
Leopard danio - Danio rerio (Brachydanio frankei),medium hard water,Beardies,,18-28 °C,top,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Zebrafish ""Veil"" - Brachydanio rerio",soft to hard,Beardies,,18-28 °C,top,,,200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Glowlight rasbora - Celestichthys (Danio) choprae,soft to medium hard,Beardies,,20-25 °C,center,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,no,no,yes,1-4 cm,1 - easy,,,
"Veiltail leopard danio - Danio frankei ""long fin""",soft to hard,Beardies,,18-28 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Naked Bower - Sawbwa resplendens,soft to medium hard,Other fish,,20-25 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
"Cardinalfish gold - Tanichthys albonubes ""gold""",soft to hard,Beardies,,15-20 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Paska's Blue Eye - Pseudomugil luminatus (paskai),soft to medium hard,Spikefish,,24-28 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Oceania,omnivorous - omnivorous,yes,no,yes,1-4 cm,2 - normal,,,
Butterfly Rainbow Fish - Pseudomugil signifer,soft to medium hard,Spikefish,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Oceania,carnivore - meat eater,yes,yes,no,1-4 cm,2 - normal,,,
Lemon Tetra - Hyphessobrycon pulchripinnis - DNZ,soft water,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Diamond-spotted tetra - Hemigrammus caudovittatus,soft to hard,Tetra,,18-28 °C,center,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,conditional (see description),yes,yes,4-8 cm,1 - easy,,,
Mourning Cloak Tetra - Gymnocorymbus ternetzi,soft to hard,Tetra,,20-25 °C,center,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Spotted Blue-Eyed - Pseudomugil gertrudae,soft to medium hard,Spikefish,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,no,1-4 cm,2 - normal,,,
Golden Mourning Cloak Tetra - Gymnocorymbus ternetzi,soft to hard,Tetra,,18-28 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Charcoal Barb - Haludaria fasciata,soft to medium hard,Barbs,no,22-25 °C,everywhere,active,conditional (see description),400/450 l (ca. 150cm),hard,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,interesting color,no,5-10 years
Flamingo tetra - hemigrammus caudovittatus,soft to hard,Tetra,,18-28 °C,center,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Celebe's Sunray Fish - Marosatherina ladigesi,medium hard water,Spikefish,yes,22-28 °C,center,normal,"yes, with peaceful fish",100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Oceania,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,interesting color,yes,3-5 years
Superb Rainbow Fish - Melanotaenia praecox - DNZ,medium hard to hard,Spikefish,,25-30 °C,top,,,200 l (ca. 100cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Tailstripe Rasbora - Boraras urophthalmoides,soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Blue Rainbowfish - Melanotaenia lacustris - DNZ,hard water,Spikefish,,20-25 °C,center,,,100 l (ca. 80cm),medium,especially colorful,with shrimp > 6 cm ,Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
"Cardinalfish golden-orange - Tanichthys albonubes ""orange""",soft to hard,Beardies,,15-20 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Golden Emperor Tetra EU-NZ - Nematobrycon palmeri ""gold""",soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Kangal Nibbler Fish - Garra rufa,soft to hard,Barbs,,25-30 °C,below,,,250/300 l (ca. 120cm),medium,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Gold-spotted Dwarf Rasboa - Boraras merah,soft to medium hard,Beardies,,18-28 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,,,
Cherry spotted tetra - Hyphessobrycon erythrostigma,soft to medium hard,Tetra,,25-30 °C,center,,,200 l (ca. 100cm),hard,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,2 - normal,,,
Glorious red mullet - Pethia conchonius,soft to hard,Barbs,no,18-26 °C,everywhere,active,"yes, with peaceful fish",100 l (ca. 80cm),medium,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,dynamic group behaviour,no,
Red-gold neon tetra - Paracheirodon innesi,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Flagtail Glassfish - Rasbora trilineata,soft to medium hard,Beardies,no,22-25 °C,center,normal,"yes, with peaceful fish",100 l (ca. 80cm),medium,interesting behaviour,with shrimp 4-6 cm size,Asia,carnivore - meat eater,yes,yes,no,8-12 cm,1 - easy,dynamic group behaviour,no,
Blackwing Hatchetfish - Carnegiella marthae,soft water,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,yes,yes,yes,1-4 cm,2 - normal,,,
Yellow Congo Tetra - Alestopetersius caudalis,soft water,Tetra,no,22-28 °C,everywhere,normal,"yes, with peaceful fish",200 l (ca. 100cm),hard,interesting body shape,with shrimp 4-6 cm size,Africa,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,dynamic group behaviour,no,
King Tetra Super Blue DNZ - Inpaichthys kerri super blue,soft to medium hard,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Bitterling Barb - Barbus titteya,soft to hard,Barbs,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Sharkfish - Balantiocheilus melanopterus,soft to medium hard,Barbs,,25-30 °C,center,,,600 l (ca. 180cm),hard,swarm behaviour,socialization not possible,Asia,,conditional (see description),yes,no,> 12cm,4 - special,,,
Roach moenkhausia - Moenkhausia sanctaefilomenae,soft to hard,Tetra,,18-28 °C,top,,,100 l (ca. 80cm),simply,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Brilliant Tetra - Moenkhausia pitteri,soft to hard,Tetra,,18-28 °C,top,,,100 l (ca. 80cm),simply,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Veil Bitterling Barb DNZ - Barbus titteya,soft to medium hard,Barbs,yes,24-28 °C,center,normal,"yes, with peaceful fish",54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,interesting color,conditional (see description),3-5 years
Schomburgk's disc tetra - Metynnis schomburgi,soft to medium hard,Tetra,conditional (see description),24-28 °C,center,calm,conditional (see description),over 1000l,hard,swarm behaviour,socialization not possible,South America,herbivore - plant eater,no,yes,no,> 12cm,4 - special,becomes particularly large,conditional (see description),5-10 years
Malabar rasbora - Danio malabaricus,soft to hard,Beardies,,18-28 °C,top,,,200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Lantern Bearer - Hemigrammus ocellifer,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Longitudinal strip of ornamental tetra gold - Nannostomus beckfordi,soft to medium hard,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
White fin tetra - Hyphessobrycon bentosi - DNZ,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Bramble Tetra - Hyphessobrycon wadai,soft to medium hard,Tetra,,25-30 °C,center,,,200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Dwarf tetra - Nannostomus marginatus,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Red Line Algae Eater - Sahyadria (Puntius) denisonii,soft to medium hard,Barbs,,25-30 °C,center,,,200 l (ca. 100cm),hard,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,conditional (see description),> 12cm,2 - normal,,,
Longitudinal striped ornamental tetra - Nannostomus beckfordi,soft to medium hard,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Sumatran barb platinum-turquoise - Puntigrus (Puntius) tetrazona,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,1 - easy,,,
Sumatran barb gold/blue - Barbus tetrazona,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,1 - easy,,,
Orange Blue Rainbowfish - Melanotaenia boesemani - DNZ,hard water,Spikefish,,24-28 °C,center,,,100 l (ca. 80cm),medium,especially colorful,with shrimp > 6 cm ,Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
Veiled Barb - Pethia conchonius,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),medium,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,conditional (see description),4-8 cm,1 - easy,,,
Red Devils - Hyphessobrycon piranga - DNZ,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Red Lipstick Barbel - Pethia erythromycter,soft to medium hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,2 - normal,,,
Western Rainbowfish - Melanotaenia splendida australis - DNZ,hard water,Spikefish,,20-25 °C,center,,,100 l (ca. 80cm),medium,especially colorful,with shrimp > 6 cm ,Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
Platinum hatchet - Thoracocharax stellatus,soft to medium hard,Tetra,,25-30 °C,top,,,250/300 l (ca. 120cm),hard,swarm behaviour,with shrimp 4-6 cm size,South America,carnivore - meat eater,yes,yes,yes,8-12 cm,2 - normal,,,
Island Barb - Oliotius (Puntius) oligolepis,soft to medium hard,Barbs,,18-28 °C,center,,,100 l (ca. 80cm),medium,swarm behaviour,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Redtail Rasbora - Rasbora borapetensis,soft to hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Headstander - Anostomus anostomus - DNZ - 5cm,soft to medium hard,Tetra,,25-30 °C,center,,,600 l (ca. 180cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,> 12cm,2 - normal,,,
Rhombe Barb - Desmopuntius rhomboocellatus,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,1 - easy,,,
Brazil. Cherry spotted tetra - Hyphessobrycon socolofi,soft to medium hard,Tetra,,25-30 °C,center,,,200 l (ca. 100cm),hard,especially colorful,socialization not possible,South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Blind Cave Tetra - Astyanax jordai (fasciatus mexicanus),medium hard water,Tetra,,20-25 °C,below,,,54 l (ca. 60cm),hard,swarm behaviour,socialization not possible,Oceania,omnivorous - omnivorous,conditional (see description),no,no,8-12 cm,2 - normal,,,
"Axelrod's rasbora ""blue"" - Sundadanio axelrodi",soft to medium hard,Beardies,no,22-28 °C,center,normal,conditional (see description),54 l (ca. 60cm),medium,interesting behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,interesting color,no,
Golden Zebrafish - Brachydanio rerio,soft to hard,Beardies,no,18-28 °C,everywhere,active,"yes, with peaceful fish",200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,dynamic group behaviour,no,3-5 years
